Typologie;Aménagement bidirectionnel;Régime de vitesse;Sens vélo;Voie;Arrondissement;Bois;Longueur du tronçon en m;Longueur du tronçon en km;Position aménagement;Circulation générale interdite;Piste;Couloir bus;Continuité cyclable;Réseau cyclable;Date de livraison;geo_shape;geo_point_2d
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;25.25695378;0.02525695378;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.3224401737612723, 48.829005801313265], [2.3226055685015434, 48.82920497782595]], ""type"": ""LineString""}";48.829105389569605, 2.322522871131408
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;8.59322265;0.00859322265;;;Niveau chaussée;;Passage porte cochère;;2021-12-31;"{""coordinates"": [[2.31906284821697, 48.82557096643189], [2.319124033963427, 48.82563684898479]], ""type"": ""LineString""}";48.82560390770834, 2.3190934410901987
Pistes cyclables;;ZONE 30;CONTRESENS;Rue des Plantes;14;Non;23.62399863;0.02362399863;;;Niveau chaussée;;;;2021-12-31;"{""coordinates"": [[2.319387628313787, 48.82592067808527], [2.3195516614413547, 48.82609730251484], [2.3195566530580596, 48.82610142039238]], ""type"": ""LineString""}";48.82601135291608, 2.3194718543246977
Bandes cyclables;;ZONE 30;CONTRESENS;Boulevard Saint-Germain;6;Non;38.86602789;0.038866027889999995;;;;;;;2020-12-31;"{""coordinates"": [[2.3345779627683068, 48.8534112286379], [2.3345314564792896, 48.85332578214899], [2.3345041744643664, 48.85331611253454], [2.3341769154961143, 48.85336045494242], [2.334157287743605, 48.853372719952944]], ""type"": ""LineString""}";48.853344733251106, 2.33438631293423
Pistes cyclables;;ZONE 30;CONTRESENS;Rue du Four;6;Non;63.63837198;0.06363837198;;;;;;;2021-12-31;"{""coordinates"": [[2.3349154330356066, 48.85290459396835], [2.334485896223402, 48.85282748894968], [2.334376061379053, 48.85281617026054], [2.334077983229229, 48.85275775333342]], ""type"": ""LineString""}";48.852832061736, 2.3344965116161585
Pistes cyclables;;ZONE 30;CONTRESENS;Rue du Four;6;Non;42.65451821;0.04265451821;;;;;;;2021-12-31;"{""coordinates"": [[2.333914873666797, 48.852725786180564], [2.3338886911026857, 48.85272065529314], [2.3337574070916753, 48.85269493934477], [2.3333411732324802, 48.85267793537933]], ""type"": ""LineString""}";48.85269309012425, 2.333629055562824
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue Madame;6;Non;603.55397761;0.60355397761;;;;;;;2020-12-31;"{""coordinates"": [[2.3314468859252755, 48.84592003367152], [2.331495112546581, 48.84595480627739], [2.331516453201542, 48.84597753187963], [2.331528765295452, 48.84600139598664], [2.3315284906059177, 48.84602281095167], [2.3317095578254334, 48.84891261161845], [2.3318044202504193, 48.85023141616931], [2.331962753561123, 48.85095925494249], [2.3320375131946607, 48.851315415885914]], ""type"": ""LineString""}";48.84860922281744, 2.3317107508329786
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);;ZONE 30;CONTRESENS;Rue de Mézières;6;Non;127.63800771;0.12763800771;;;;;;;2020-12-31;"{""coordinates"": [[2.330005395150553, 48.85025621735725], [2.3317447401988973, 48.850258330712826]], ""type"": ""LineString""}";48.85025727403504, 2.330875067674725
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Barthélemy;15;Non;131.14500106;0.13114500106;;;Niveau chaussée;;;;2020-12-31;"{""coordinates"": [[2.3110711299613227, 48.84619037608394], [2.3096565814273555, 48.84584813083541], [2.3093767786749444, 48.84583612738531]], ""type"": ""LineString""}";48.84599066937289, 2.3102271396403595
Autres itinéraires cyclables (ex : Aires piétonnes - Contre-sens cyclables);Non;ZONE 30;CONTRESENS;Rue Léonidas;14;Non;172.22346332;0.17222346332000002;;;;;;;2020-12-31;"{""coordinates"": [[2.32160697490765, 48.83134191380328], [2.321780946244581, 48.831267943000626], [2.3233594535595117, 48.83058917971279], [2.323359716080399, 48.83056895425648], [2.32334245281826, 48.830510556405706], [2.323296681251255, 48.83042701081254]], ""type"": ""LineString""}";48.83092693179009, 2.322555446370146
